Worker ID,Nama,No. HP,Email,Tanggal Lahir,Gender,Pekerjaan,Pengalaman,Kecamatan,Kabupaten/Kota,Provinsi
1,Aditya Mansur,81282642887,adityamansur@gmail.com,2/8/1980,Pria,Tukang,8,Curug,Kabupaten Tangerang,Banten
2,Vino Sinaga,81607642887,vinosinaga@gmail.com,8/2/1987,Pria,Supir,13,Jambe,Kabupaten Tangerang,Banten
3,Luluh Sirait,81274542887,luluhsirait@gmail.com,2/27/1969,Pria,Tukang,2,Teluknaga,Kabupaten Tangerang,Banten
4,Edi Situmorang,81861242887,edisitumorang@gmail.com,1/3/1991,Pria,Tukang,11,Balaraja,Kabupaten Tangerang,Banten
5,Kiandra Mandasari,81222242887,kiandramandasari@gmail.com,8/5/1980,Wanita,ART,6,Cipondoh,Kota Tangerang,Banten
6,Nurul Hastuti,81190642887,nurulhastuti@gmail.com,2/26/1993,Wanita,Cleaning Service,9,Grogol Petamburan,Jakarta Barat,DKI Jakarta
7,Artawan Iswahyudi,81869542887,artawaniswahyudi@gmail.com,2/19/1964,Pria,Supir,10,Mekarbaru,Kabupaten Tangerang,Banten
8,Ade Hastuti,81300242887,adehastuti@gmail.com,4/7/1988,Wanita,Teknisi Komputer,10,Cipayung,Jakarta Timur,DKI Jakarta
9,Laksana Hutagalung,81961042887,laksanahutagalung@gmail.com,10/7/1995,Pria,Teknisi Komputer,4,Ciracas,Jakarta Timur,DKI Jakarta
10,Nyana Sitorus,81770642887,nyanasitorus@gmail.com,8/22/1998,Pria,Teknisi Komputer,6,Johar Baru,Jakarta Pusat,DKI Jakarta
11,Oni Melani,81646342887,onimelani@gmail.com,6/19/1994,Wanita,Teknisi Elektronik,2,Jayanti,Kabupaten Tangerang,Banten
12,Jabal Wahyudin,81837242887,jabalwahyudin@gmail.com,12/9/1971,Pria,Teknisi Elektronik,15,Matraman,Jakarta Timur,DKI Jakarta
13,Intan Suartini,81862542887,intansuartini@gmail.com,6/15/1991,Wanita,ART,10,Kelapa Gading,Jakarta Utara,DKI Jakarta
14,Ratih Nasyidah,81438942887,ratihnasyidah@gmail.com,6/12/1985,Wanita,Teknisi Elektronik,3,Setiabudi,Jakarta Selatan,DKI Jakarta
